iter	Accuracy	MultiClass
0	0.6063157895	1.332515474
1	0.6463157895	1.279192354
2	0.6736842105	1.23879616933	0.6863157895	1.20340361344	0.6715789474	1.169748615	5	0.6905263158	1.138525496	6	0.7031578947	1.109105077	7	0.6947368421	1.078310688	8	0.7031578947	1.056027599	9	0.6926315789	1.031388011010	0.6989473684	1.009606961111	0.7031578947	0.9887681421212	0.7031578947	0.9669771091313	0.7157894737	0.950407585114	0.7263157895	0.9321507551515	0.7157894737	0.9157046151616	0.7178947368	0.9008174531717	0.7263157895	0.8867855801818	0.7136842105	0.8747617811919	0.7136842105	0.8594066952020	0.7178947368	0.847981297221	0.72	0.8362239643
22	0.7284210526	0.8258480365
23	0.7115789474	0.8163783972424	0.7178947368	0.8066772612525	0.7305263158	0.7952773002626	0.7305263158	0.7878449462727	0.7347368421	0.7794528522828	0.7347368421	0.7734397592929	0.7326315789	0.7647308973030	0.7389473684	0.7573140843131	0.7347368421	0.7500249603232	0.7347368421	0.743152509333	0.7326315789	0.7363253078334	0.7347368421	0.7305566114335	0.7368421053	0.7242903133336	0.7431578947	0.7176612991337	0.7494736842	0.7122139526338	0.7431578947	0.7069309504339	0.7515789474	0.7005903684040	0.7452631579	0.6950933594141	0.7494736842	0.6902956042	42	0.7515789474	0.6860552643	43	0.7578947368	0.6812002744	44	0.7578947368	0.676865944545	0.76	0.6718897284
46	0.7557894737	0.6680178724
47	0.7621052632	0.662882143448	0.7705263158	0.6585768573449	0.7726315789	0.6546150356550	0.7705263158	0.6501714051	51	0.7747368421	0.6448937452	52	0.7705263158	0.6409650553	53	0.7768421053	0.6373947054	54	0.7768421053	0.6342344455	55	0.7852631579	0.6296548956	56	0.7873684211	0.6252875857	57	0.7873684211	0.6227747658	58	0.7894736842	0.6182380459	59	0.7894736842	0.6143572060	60	0.7915789474	0.6109554461	61	0.7936842105	0.6087068762	62	0.8	0.6004506603
63	0.8	0.5982354435
64	0.8	0.5957430477
65	0.8	0.5925880161
66	0.7978947368	0.5890209386
67	0.8	0.5859633773
68	0.8	0.5828254253
69	0.8021052632	0.5781479094
70	0.8042105263	0.5738426009
71	0.8084210526	0.5698862024
72	0.8042105263	0.5660216397
73	0.8084210526	0.5623189848
74	0.8126315789	0.558842653
75	0.8084210526	0.5567727783
76	0.8063157895	0.5535174724
77	0.8147368421	0.5495000491
78	0.8168421053	0.547701246
79	0.8147368421	0.544692719
80	0.8168421053	0.5412875566
81	0.8210526316	0.5382661262
82	0.8252631579	0.535342311
83	0.8273684211	0.5333877469
84	0.8231578947	0.5319183862
85	0.8231578947	0.5294326811
86	0.8273684211	0.5261547359
87	0.8252631579	0.5238021371
88	0.8273684211	0.5208955162
89	0.8273684211	0.5185865245
90	0.8315789474	0.516045615
91	0.8357894737	0.513914559
92	0.8378947368	0.5092355855
93	0.8378947368	0.5057337629
94	0.84	0.5033078419
95	0.8421052632	0.5007625129
96	0.8463157895	0.4983525826
97	0.8442105263	0.4961978669
98	0.8484210526	0.4925477274
99	0.8463157895	0.4898061971
100	0.8463157895	0.4862613276
101	0.8505263158	0.4836345979
102	0.8505263158	0.4814063645
103	0.8526315789	0.4766487801
104	0.8589473684	0.4746811937
105	0.8568421053	0.472994212
106	0.8547368421	0.4713244649
107	0.8589473684	0.4691531417
108	0.8610526316	0.4667978064
109	0.8610526316	0.4646072697
110	0.8673684211	0.4631706578
111	0.8652631579	0.4614959612
112	0.8652631579	0.4595907929
113	0.8631578947	0.4559368785
114	0.8631578947	0.4538637064
115	0.8652631579	0.4516327924
116	0.8631578947	0.4491007805
117	0.8673684211	0.4462908786
118	0.8694736842	0.4437503349
119	0.8694736842	0.4415334119
120	0.8694736842	0.4390856469
121	0.8715789474	0.4366514537
122	0.8715789474	0.4335120735
123	0.8694736842	0.4310752693
124	0.8736842105	0.4282170967
125	0.8757894737	0.4271613992
126	0.8821052632	0.4238104271
127	0.8821052632	0.4222498079
128	0.8821052632	0.4213928768
129	0.8842105263	0.4197875546
130	0.8842105263	0.4171136209
131	0.8884210526	0.4147637983
132	0.8905263158	0.4131804234
133	0.8905263158	0.4100833551
134	0.8884210526	0.4084317491
135	0.8926315789	0.4065916681
136	0.8926315789	0.4049888278
137	0.8968421053	0.402650693
138	0.8989473684	0.4009432281
139	0.8989473684	0.3991136652
140	0.9031578947	0.3986538212
141	0.9010526316	0.3967391052
142	0.9010526316	0.393982571
143	0.9031578947	0.3929968093
144	0.9052631579	0.3924390496
145	0.9073684211	0.3906052114
146	0.9094736842	0.3880127242
147	0.9073684211	0.3859526864
148	0.9115789474	0.3847709338
149	0.9115789474	0.3834978843
150	0.9115789474	0.3824737087
151	0.9115789474	0.3803282294
152	0.9136842105	0.3783527039
153	0.9115789474	0.376851251
154	0.9136842105	0.3760663733
155	0.9136842105	0.373961555
156	0.9178947368	0.3732871843
157	0.9178947368	0.3726060101
158	0.9157894737	0.3716848431
159	0.9178947368	0.3702702261
160	0.92	0.3696486331
161	0.92	0.3691938991
162	0.92	0.368057299
163	0.9242105263	0.3669025433
164	0.9263157895	0.3649203791
165	0.9263157895	0.3641795572
166	0.9263157895	0.3632391418
167	0.9242105263	0.362370719
168	0.9305263158	0.3596463535
169	0.9305263158	0.3580216437
170	0.9305263158	0.3562789372
171	0.9347368421	0.3543369661
172	0.9326315789	0.3524025595
173	0.9347368421	0.3500181645
174	0.9347368421	0.3489657941
175	0.9347368421	0.3474484855
176	0.9389473684	0.3459308358
177	0.9389473684	0.3446817527
178	0.9368421053	0.3429517498
179	0.9389473684	0.3408522796
180	0.9389473684	0.3391503314
181	0.9368421053	0.3384261003
182	0.9410526316	0.3365503131
183	0.9452631579	0.3355934882
184	0.9431578947	0.3349356444
185	0.9431578947	0.3335745139
186	0.9452631579	0.3323179305
187	0.9473684211	0.3306670879
188	0.9473684211	0.329733954
189	0.9494736842	0.3286647772
190	0.9494736842	0.3276530512
191	0.9494736842	0.3261592177
192	0.9494736842	0.3251091072
193	0.9473684211	0.3236581943
194	0.9473684211	0.3217329201
195	0.9473684211	0.3214256284
196	0.9473684211	0.3194865377
197	0.9494736842	0.3177823711
198	0.9494736842	0.3167498837
199	0.9515789474	0.3151489319
200	0.9515789474	0.3147778912
201	0.9494736842	0.3133745696
202	0.9515789474	0.3124451061
203	0.9515789474	0.3110728283
204	0.9515789474	0.3102422899
205	0.9557894737	0.3087910138
206	0.96	0.3074458512
207	0.9557894737	0.3062781652
208	0.9578947368	0.3048616104
209	0.9578947368	0.3044946342
210	0.9578947368	0.3035428536
211	0.9578947368	0.3022992987
212	0.9578947368	0.3010913893
213	0.96	0.2998513515
214	0.9621052632	0.298829456
215	0.9621052632	0.2977266903
216	0.9642105263	0.2964522942
217	0.9642105263	0.2947143723
218	0.9642105263	0.2933045445
219	0.9642105263	0.2921535815
220	0.9642105263	0.2915206853
221	0.9642105263	0.2903343441
222	0.9642105263	0.2894706302
223	0.9642105263	0.2881102789
224	0.9663157895	0.2870801338
225	0.9684210526	0.2863878
226	0.9684210526	0.2850048027
227	0.9684210526	0.2843869624
228	0.9684210526	0.2837340097
229	0.9684210526	0.2826510125
230	0.9684210526	0.2820223909
231	0.9684210526	0.281443267
232	0.9684210526	0.280513762
233	0.9684210526	0.2798937226
234	0.9684210526	0.278519908
235	0.9705263158	0.2772339707
236	0.9705263158	0.276290675
237	0.9705263158	0.2757806023
238	0.9705263158	0.2745870781
239	0.9705263158	0.2738492884
240	0.9705263158	0.2735323667
241	0.9705263158	0.2725349005
242	0.9705263158	0.2720195722
243	0.9726315789	0.2702974264
244	0.9726315789	0.2699515447
245	0.9705263158	0.2693015048
246	0.9726315789	0.2688363967
247	0.9726315789	0.2681441738
248	0.9726315789	0.2671948268
249	0.9726315789	0.2668563569
250	0.9726315789	0.2660673578
251	0.9747368421	0.265053355
252	0.9747368421	0.2638910611
253	0.9747368421	0.2629917431
254	0.9747368421	0.2623887301
255	0.9768421053	0.2612666691
256	0.9768421053	0.2605179739
257	0.9768421053	0.2596106184
258	0.9768421053	0.2582053517
259	0.9768421053	0.2570511311
260	0.9768421053	0.256392564
261	0.9768421053	0.2556219088
262	0.9768421053	0.255079681
263	0.9768421053	0.2544691502
264	0.9768421053	0.2541254831
265	0.9768421053	0.252944014
266	0.9768421053	0.2523069642
267	0.9768421053	0.2514410269
268	0.9768421053	0.2501191429
269	0.9768421053	0.2492045326
270	0.9768421053	0.2485014093
271	0.9789473684	0.2473279946
272	0.9810526316	0.2464803125
273	0.9810526316	0.2456509151
274	0.9810526316	0.244271955
275	0.9810526316	0.2432368538
276	0.9810526316	0.2423363077
277	0.9831578947	0.2408690673
278	0.9831578947	0.2397973659
279	0.9831578947	0.2392432741
280	0.9831578947	0.2379258101
281	0.9831578947	0.2375081165
282	0.9831578947	0.2369252295
283	0.9831578947	0.2366009589
