iter	Passed	Remaining
0	352	352619
1	687	343204
2	1018	338409
3	1365	339938
4	1715	341325
5	2087	345789
6	2433	345147
7	2807	348109
8	3161	348070
9	3505	347004
10	3858	346957
11	4214	347020
12	4546	345147
13	4891	344497
14	5246	344525
15	5596	344167
16	5956	344406
17	6305	343995
18	6709	346431
19	7086	347258
20	7457	347670
21	7828	348025
22	8202	348442
23	8673	352706
24	9119	355657
25	9575	358731
26	10002	360456
27	10511	364893
28	10934	366113
29	11512	372247
30	11980	374499
31	12439	376293
32	12788	374743
33	13189	374737
34	13601	375023
35	13970	374098
36	14363	373826
37	14770	373928
38	15258	375988
39	15609	374633
40	15988	373976
41	16334	372571
42	16681	371264
43	17140	372413
44	17491	371207
45	17850	370199
46	18216	369377
47	18650	369896
48	19099	370684
49	19640	373168
50	20083	373706
51	20545	374551
52	20971	374723
53	21361	374220
54	21704	372922
55	22102	372589
56	22528	372711
57	22871	371469
58	23196	369959
59	23523	368528
60	23875	367527
61	24182	365855
62	24497	364357
63	24864	363636
64	25260	363356
65	25565	361796
66	25882	360421
67	26248	359760
68	26568	358485
69	26912	357546
70	27230	356299
71	27588	355585
72	28392	360541
73	28807	360484
74	29310	361490
75	29729	361452
76	30170	361650
77	30623	361986
78	31013	361563
79	31338	360390
80	31649	359080
81	31987	358101
82	32309	356959
83	32628	355807
84	32989	355119
85	33324	354166
86	33662	353265
87	33993	352291
88	34320	351305
89	34647	350319
90	34968	349303
91	35318	348574
92	35654	347731
93	36012	347098
94	36324	346037
95	36662	345242
96	37015	344587
97	37421	344430
98	37850	344480
99	38267	344411
100	38679	344284
101	39105	344283
102	39455	343608
103	39785	342767
104	40112	341915
105	40430	340986
106	40746	340062
107	41081	339304
108	41416	338552
109	41738	337701
110	42056	336832
111	42380	336014
112	42724	335370
113	43088	334881
114	43458	334439
115	43788	333698
116	44110	332901
117	44439	332166
118	44807	331729
119	45188	331382
120	45510	330605
121	45843	329925
122	46229	329616
123	46731	330131
124	47194	330360
125	47554	329859
126	47969	329742
127	48294	329007
128	48665	328583
129	49114	328692
130	49484	328262
131	49807	327521
132	50158	326973
133	50462	326123
134	50778	325360
135	51098	324626
136	51410	323847
137	51719	323057
138	52041	322357
139	52361	321650
140	52701	321070
141	53032	320437
142	53354	319756
143	53664	319003
144	54005	318444
145	54362	317984
146	54725	317555
147	55162	317556
148	55573	317405
149	55975	317192
150	56383	317018
151	56819	316991
152	57311	317274
153	57743	317214
154	58160	317067
155	58621	317159
156	59086	317260
157	59438	316755
158	59769	316138
159	60127	315671
160	60467	315108
161	60783	314422
