iter	Accuracy	MultiClass
0	0.6313291139	1.322535077
1	0.6408227848	1.270085495
2	0.6313291139	1.224126613
3	0.6329113924	1.185714271
4	0.6518987342	1.150956699
5	0.6455696203	1.117561097
6	0.6598101266	1.085866548
7	0.6661392405	1.060962766
8	0.6582278481	1.037980457
9	0.6550632911	1.016039248
10	0.6598101266	0.9968323655
11	0.6613924051	0.9777308562
12	0.6693037975	0.9583049175
13	0.6629746835	0.9408765317
14	0.667721519	0.9265997717
15	0.6661392405	0.9126232433
16	0.6708860759	0.8988558298
17	0.6708860759	0.8827620098
18	0.6693037975	0.870979559
19	0.6756329114	0.8576624599
20	0.6787974684	0.8468953674
21	0.6851265823	0.8364957381
22	0.6867088608	0.8243398358
23	0.6851265823	0.8148872348
24	0.6930379747	0.8056788363
25	0.6993670886	0.7980696356
26	0.6962025316	0.7889608213
27	0.7009493671	0.7798679736
28	0.707278481	0.7716049738
29	0.7136075949	0.764142688
30	0.7199367089	0.7571983112
31	0.7167721519	0.7516208395
32	0.7246835443	0.7436761222
33	0.7231012658	0.7377792127
34	0.7246835443	0.7322084227
35	0.7294303797	0.7264463012
36	0.7310126582	0.721033406
37	0.7341772152	0.7158563638
38	0.7325949367	0.7109395888
39	0.7310126582	0.7046356953
40	0.7373417722	0.6996692999
41	0.7389240506	0.6940209827
42	0.7405063291	0.6893600387
43	0.7436708861	0.685036592
44	0.7420886076	0.6797709406
45	0.7405063291	0.6757057744
46	0.7452531646	0.6700453749
47	0.7484177215	0.6664550872
48	0.7484177215	0.6625848133
49	0.7515822785	0.6587919285
50	0.7515822785	0.6552437099
51	0.7484177215	0.6514337679
52	0.7515822785	0.6482699849
53	0.7515822785	0.6441998428
54	0.753164557	0.6410867552
55	0.753164557	0.6359523964
56	0.7547468354	0.6328160702
57	0.7579113924	0.6272390548
58	0.7579113924	0.6242154674
59	0.7594936709	0.6210643138
60	0.7626582278	0.6179414602
61	0.7626582278	0.6148025076
62	0.7674050633	0.6118331288
63	0.7705696203	0.6093003597
64	0.7721518987	0.6061310706
65	0.7784810127	0.602809071
66	0.7800632911	0.5986340637
67	0.7832278481	0.5962217632
68	0.789556962	0.593207281
69	0.7832278481	0.590103907
70	0.7816455696	0.5878839383
71	0.7848101266	0.5851660316
72	0.7863924051	0.5819758279
73	0.7879746835	0.5798850599
74	0.7879746835	0.5774451189
75	0.7943037975	0.5728460474
76	0.7958860759	0.5696281843
77	0.7990506329	0.5661653222
78	0.8006329114	0.5626915306
79	0.8022151899	0.5586310952
80	0.8022151899	0.5551543556
81	0.8053797468	0.5526241839
82	0.8006329114	0.5502576205
83	0.8069620253	0.5471925986
84	0.8101265823	0.5441908809
85	0.8132911392	0.5417443967
86	0.8132911392	0.5393212265
87	0.8132911392	0.5370812237
88	0.8180379747	0.5335182662
89	0.8196202532	0.5290968357
90	0.8227848101	0.5257141166
91	0.8259493671	0.5230874763
92	0.832278481	0.5201672119
93	0.832278481	0.5177530416
94	0.8338607595	0.5158394509
95	0.8338607595	0.5125302209
96	0.8370253165	0.5109665821
97	0.8386075949	0.5097915089
98	0.8370253165	0.5087276957
99	0.8370253165	0.5069299969
100	0.8370253165	0.5044486313
101	0.8386075949	0.5022536011
102	0.835443038	0.5011312413
103	0.8401898734	0.4987092044
104	0.8401898734	0.4965701326
105	0.8417721519	0.4947602649
106	0.8401898734	0.4925931124
107	0.8417721519	0.4920249053
108	0.8417721519	0.4905585254
109	0.8465189873	0.4892293634
110	0.8481012658	0.4871316987
111	0.8544303797	0.484092505
112	0.8528481013	0.48322028
113	0.8560126582	0.4815105453
114	0.8560126582	0.4786853467
115	0.8560126582	0.4769412598
116	0.8591772152	0.4753083156
117	0.8591772152	0.4743339238
118	0.8591772152	0.4724700317
119	0.8607594937	0.4704057859
120	0.8607594937	0.468148163
121	0.8623417722	0.4661716605
122	0.8639240506	0.4651376434
123	0.8639240506	0.4633388221
124	0.8639240506	0.4616640983
125	0.8670886076	0.4598763146
126	0.871835443	0.457464494
127	0.8702531646	0.4547033299
128	0.8702531646	0.4506867214
129	0.871835443	0.4498317054
130	0.875	0.4484989761
131	0.8734177215	0.4462112286
132	0.875	0.4456476453
133	0.878164557	0.4438741059
134	0.878164557	0.4419449032
135	0.8765822785	0.440981773
136	0.8765822785	0.4394199275
137	0.8765822785	0.4377082376
138	0.8765822785	0.4361906485
139	0.878164557	0.4339311823
140	0.8813291139	0.4320877417
141	0.8797468354	0.4303752974
142	0.8797468354	0.4287186777
143	0.8797468354	0.4276811469
144	0.8797468354	0.4252393316
145	0.8797468354	0.4241678942
146	0.8813291139	0.4231080023
147	0.8813291139	0.4223887504
148	0.878164557	0.420545716
149	0.8797468354	0.4185480441
150	0.8829113924	0.4167276624
151	0.8813291139	0.4161125545
152	0.8860759494	0.4145679697
153	0.8844936709	0.4130973272
154	0.8844936709	0.4119065861
155	0.8844936709	0.4112896302
156	0.8860759494	0.4106603312
157	0.8844936709	0.4097121119
158	0.8860759494	0.4080368588
159	0.8876582278	0.4056573502
160	0.8892405063	0.404228974
161	0.8892405063	0.4028910937
162	0.8908227848	0.4012452203
163	0.8924050633	0.3996688455
164	0.8924050633	0.3984136999
165	0.8924050633	0.3968317602
166	0.8939873418	0.3956625272
167	0.8939873418	0.3937088221
168	0.8955696203	0.3928497121
169	0.8955696203	0.3911173639
170	0.8971518987	0.3896051018
171	0.8987341772	0.3886978201
172	0.9018987342	0.3882922177
173	0.9003164557	0.3865219877
174	0.9003164557	0.3852579959
175	0.9018987342	0.3833134506
176	0.9003164557	0.3812816816
177	0.9018987342	0.3793580443
178	0.9034810127	0.3779236202
179	0.9066455696	0.3763209842
180	0.9066455696	0.3754334373
181	0.9066455696	0.374776944
182	0.9050632911	0.3733797224
183	0.9098101266	0.3718546336
184	0.9113924051	0.3699939685
185	0.9098101266	0.3682477129
186	0.9113924051	0.3671436544
187	0.9113924051	0.3658134863
188	0.9129746835	0.3641691438
189	0.9129746835	0.3626487504
190	0.914556962	0.361061852
