iter	Passed	Remaining
0	16	16410
1	31	15966
2	47	15820
3	59	14796
4	73	14605
5	87	14534
6	104	14789
7	122	15177
8	146	16172
9	163	16172
10	185	16672
11	201	16604
12	214	16315
13	228	16072
14	245	16149
15	262	16124
16	278	16106
17	299	16314
18	314	16243
19	330	16183
20	348	16251
21	362	16102
22	382	16242
23	400	16296
24	417	16269
25	457	17127
26	473	17074
27	492	17110
28	511	17142
29	528	17102
30	548	17150
31	562	17026
32	578	16946
33	595	16920
34	608	16781
35	625	16738
36	640	16673
37	664	16822
38	678	16723
39	693	16638
40	706	16521
41	723	16498
42	742	16528
43	763	16585
44	782	16610
45	799	16588
46	817	16579
47	840	16666
48	861	16715
49	924	17571
50	948	17653
51	964	17584
52	993	17756
53	1009	17682
54	1025	17627
55	1044	17599
56	1057	17501
57	1076	17478
58	1098	17521
59	1121	17566
60	1142	17587
61	1165	17635
62	1190	17709
63	1207	17657
64	1229	17692
65	1257	17801
66	1280	17829
67	1308	17929
68	1325	17884
69	1352	17970
70	1366	17874
71	1382	17817
72	1395	17716
73	1407	17609
74	1423	17560
75	1456	17705
76	1477	17705
77	1493	17654
78	1506	17565
79	1522	17504
80	1543	17510
81	1571	17589
82	1587	17537
83	1601	17464
84	1614	17374
85	1629	17321
86	1641	17229
87	1654	17149
88	1671	17113
89	1690	17097
90	1717	17154
91	1733	17110
92	1747	17044
93	1761	16979
94	1777	16928
95	1789	16855
96	1803	16791
97	1846	16991
98	1872	17038
99	1897	17078
100	1916	17059
101	1949	17167
102	1979	17234
103	2000	17234
104	2025	17268
105	2047	17264
106	2066	17244
107	2085	17224
108	2097	17147
109	2113	17104
110	2129	17053
111	2141	16978
112	2165	16996
113	2181	16957
114	2199	16925
115	2215	16882
116	2230	16830
117	2243	16766
118	2257	16715
119	2273	16669
120	2286	16608
121	2303	16574
122	2324	16571
123	2344	16560
124	2364	16553
125	2383	16534
126	2398	16486
127	2423	16507
128	2436	16454
129	2447	16381
130	2462	16335
131	2477	16289
132	2490	16237
133	2506	16199
134	2528	16203
135	2552	16217
136	2575	16223
137	2594	16206
138	2618	16222
139	2631	16167
140	2647	16126
