,1,2,3,4,5,6
09.04.2018,12002,22001,12002,22001,22001,12002
08.04.2018,12002,22001,12002,22001,22001,12002
07.04.2018,11015,11015,11015,11015,11015,11015
06.04.2018,12002,22001,12002,22001,22001,12002
05.04.2018,22001,22001,22001,22001,22001,22001
04.04.2018,22001,22001,22001,22001,22001,22001
03.04.2018,23002,23002,23002,22001,22001,22001
02.04.2018,33001,33001,33001,33001,33001,33001
01.04.2018,32002,32002,32002,22001,22001,32002
31.03.2018,32002,32002,32002,22001,22001,32002
30.03.2018,32002,32002,32002,22001,22001,22001
29.03.2018,33001,33001,33001,23002,22001,32002
28.03.2018,32010,32010,32010,22015,22001,32002
27.03.2018,11001,11001,11001,11001,21002,21002
26.03.2018,11001,11001,11001,11001,11001,11001
25.03.2018,21002,21002,21002,11001,11001,11001
24.03.2018,21002,21002,21002,11001,11001,11001
23.03.2018,21002,21002,21002,11001,11001,21002
22.03.2018,21002,21002,21002,21002,11001,11001
21.03.2018,11001,11001,11001,11001,11001,11001
20.03.2018,11001,11001,11001,11001,11001,11001
19.03.2018,11001,11001,11001,11001,11001,11001
18.03.2018,21002,11001,21002,11001,11001,21002
17.03.2018,21002,21002,21002,11001,11001,21002
16.03.2018,22001,22001,22001,22001,22001,22001
15.03.2018,22001,22001,22001,22001,22001,22001
14.03.2018,22001,22001,22001,22001,22001,22001
13.03.2018,22001,22001,22001,22001,22001,22001
12.03.2018,22001,22001,22001,22001,22001,22001
11.03.2018,22001,22001,22001,22001,22001,22001
10.03.2018,32002,22001,22001,22001,22001,22001
09.03.2018,31002,21002,21002,11001,11001,21002
08.03.2018,31002,21002,21002,11001,11001,21002
07.03.2018,11104,11104,11104,11104,11104,11104
06.03.2018,11001,11001,11001,11001,11001,11001
05.03.2018,11001,11001,11001,11001,11001,11001
04.03.2018,21002,21002,21002,21002,21002,21002
03.03.2018,21002,21002,21002,21002,21002,21002
02.03.2018,21002,21002,21002,21002,21002,21002
01.03.2018,21100,21100,31002,31002,31002,21100
28.02.2018,21002,21002,21002,21002,21002,21002
27.02.2018,21002,21002,21002,21002,21002,21002
26.02.2018,21002,21002,21002,21002,21002,21002
25.02.2018,21002,21002,21002,11001,11001,21002
24.02.2018,21002,21002,21002,11001,11001,21002
23.02.2018,21002,21002,21002,21002,21002,21002
22.02.2018,21002,21002,21002,21002,21002,21002
